id,correctAnswer
102501,C
102502,B
102503,D
102504,B
102505,B
102506,D
102507,D
102508,C
102509,D
102510,D
102511,B
102512,B
102513,B
102514,A
102515,D
102516,C
102517,D
102518,B
102519,C
102520,B
102521,D
102522,D
102523,C
102524,B
102525,D
102526,C
102527,C
102528,A
102529,B
102530,C
102531,D
102532,A
102533,D
102534,A
102535,A
102536,A
102537,B
102538,C
102539,D
102540,A
102541,C
102542,A
102543,A
102544,B
102545,D
102546,A
102547,A
102548,B
102549,B
102550,A
102551,B
102552,D
102553,A
102554,D
102555,D
102556,D
102557,D
102558,B
102559,D
102560,C
102561,B
102562,D
102563,C
102564,B
102565,C
102566,D
102567,A
102568,A
102569,A
102570,B
102571,D
102572,B
102573,B
102574,A
102575,D
102576,D
102577,D
102578,C
102579,D
102580,A
102581,D
102582,B
102583,D
102584,A
102585,D
102586,A
102587,D
102588,B
102589,D
102590,D
102591,B
102592,B
102593,A
102594,B
102595,D
102596,D
102597,B
102598,B
102599,A
102600,A
102601,A
102602,B
102603,B
102604,D
102605,C
102606,B
102607,A
102608,A
102609,D
102610,B
102611,C
102612,A
102613,B
102614,A
102615,C
102616,A
102617,B
102618,B
102619,D
102620,A
102621,C
102622,B
102623,B
102624,A
102625,A
102626,C
102627,D
102628,C
102629,B
102630,B
102631,D
102632,D
102633,A
102634,C
102635,B
102636,B
102637,A
102638,B
102639,B
102640,D
102641,D
102642,C
102643,C
102644,B
102645,A
102646,B
102647,D
102648,D
102649,A
102650,C
102651,C
102652,A
102653,D
102654,D
102655,C
102656,D
102657,B
102658,A
102659,A
102660,D
102661,B
102662,B
102663,C
102664,D
102665,C
102666,D
102667,B
102668,D
102669,D
102670,B
102671,D
102672,B
102673,A
102674,D
102675,D
102676,D
102677,D
102678,D
102679,D
102680,A
102681,D
102682,A
102683,B
102684,A
102685,B
102686,A
102687,D
102688,A
102689,D
102690,A
102691,C
102692,B
102693,D
102694,D
102695,B
102696,B
102697,C
102698,C
102699,A
102700,A
102701,B
102702,A
102703,B
102704,B
102705,B
102706,D
102707,D
102708,A
102709,C
102710,B
102711,C
102712,D
102713,A
102714,D
102715,D
102716,C
102717,B
102718,A
102719,D
102720,C
102721,C
102722,C
102723,C
102724,D
102725,B
102726,A
102727,C
102728,C
102729,D
102730,A
102731,C
102732,A
102733,A
102734,D
102735,A
102736,B
102737,B
102738,A
102739,D
102740,D
102741,A
102742,A
102743,D
102744,C
102745,A
102746,D
102747,B
102748,A
102749,C
102750,A
102751,A
102752,A
102753,D
102754,B
102755,B
102756,A
102757,A
102758,A
102759,C
102760,A
102761,B
102762,B
102763,C
102764,B
102765,B
102766,D
102767,C
102768,C
102769,B
102770,D
102771,D
102772,D
102773,C
102774,C
102775,B
102776,B
102777,A
102778,D
102779,C
102780,B
102781,D
102782,B
102783,D
102784,D
102785,B
102786,C
102787,D
102788,A
102789,D
102790,B
102791,D
102792,A
102793,A
102794,A
102795,B
102796,B
102797,C
102798,D
102799,A
102800,C
102801,A
102802,C
102803,D
102804,B
102805,C
102806,A
102807,D
102808,B
102809,A
102810,C
102811,A
102812,A
102813,D
102814,C
102815,D
102816,A
102817,D
102818,A
102819,D
102820,C
102821,A
102822,B
102823,B
102824,B
102825,B
102826,B
102827,B
102828,B
102829,A
102830,D
102831,D
102832,B
102833,A
102834,B
102835,D
102836,D
102837,C
102838,C
102839,C
102840,B
102841,B
102842,B
102843,D
102844,B
102845,C
102846,C
102847,A
102848,B
102849,B
102850,D
102851,C
102852,A
102853,D
102854,A
102855,B
102856,D
102857,A
102858,A
102859,D
102860,D
102861,B
102862,A
102863,C
102864,C
102865,A
102866,B
102867,D
102868,B
102869,B
102870,D
102871,C
102872,D
102873,B
102874,C
102875,C
102876,D
102877,C
102878,D
102879,B
102880,C
102881,B
102882,B
102883,C
102884,C
102885,A
102886,C
102887,A
102888,B
102889,C
102890,B
102891,D
102892,D
102893,D
102894,A
102895,C
102896,D
102897,C
102898,B
102899,B
102900,C
102901,D
102902,D
102903,A
102904,B
102905,B
102906,D
102907,D
102908,A
102909,B
102910,B
102911,D
102912,B
102913,C
102914,B
102915,B
102916,B
102917,B
102918,A
102919,C
102920,D
102921,D
102922,A
102923,B
102924,A
102925,A
102926,D
102927,D
102928,A
102929,C
102930,D
102931,B
102932,C
102933,C
102934,A
102935,B
102936,C
102937,A
102938,B
102939,C
102940,B
102941,A
102942,D
102943,C
102944,B
102945,B
102946,B
102947,D
102948,B
102949,B
102950,D
102951,D
102952,D
102953,B
102954,D
102955,C
102956,D
102957,A
102958,D
102959,C
102960,A
102961,B
102962,B
102963,C
102964,B
102965,C
102966,D
102967,D
102968,C
102969,B
102970,C
102971,D
102972,A
102973,B
102974,A
102975,A
102976,B
102977,D
102978,C
102979,B
102980,C
102981,D
102982,D
102983,B
102984,A
102985,D
102986,D
102987,A
102988,D
102989,A
102990,C
102991,B
102992,C
102993,C
102994,A
102995,D
102996,B
102997,D
102998,C
102999,B
103000,D
103001,D
103002,D
103003,D
103004,A
103005,A
103006,B
103007,B
103008,C
103009,D
103010,D
103011,C
103012,B
103013,D
103014,B
103015,B
103016,C
103017,C
103018,B
103019,D
103020,D
103021,A
103022,B
103023,C
103024,B
103025,D
103026,C
103027,B
103028,C
103029,D
103030,D
103031,B
103032,A
103033,A
103034,A
103035,A
103036,B
103037,B
103038,A
103039,A
103040,A
103041,C
103042,B
103043,C
103044,C
103045,D
103046,A
103047,A
103048,C
103049,B
103050,D
103051,C
103052,D
103053,C
103054,A
103055,B
103056,C
103057,D
103058,A
103059,A
103060,B
103061,C
103062,C
103063,C
103064,A
103065,B
103066,B
103067,D
103068,C
103069,B
103070,B
103071,D
103072,C
103073,C
103074,D
103075,D
103076,A
103077,B
103078,A
103079,B
103080,A
103081,D
103082,B
103083,B
103084,B
103085,C
103086,A
103087,B
103088,A
103089,B
103090,C
103091,D
103092,B
103093,A
103094,B
103095,B
103096,C
103097,C
103098,C
103099,D
103100,C
103101,B
103102,B
103103,D
103104,B
103105,B
103106,C
103107,D
103108,A
103109,A
103110,D
103111,D
103112,C
103113,D
103114,A
103115,A
103116,D
103117,A
103118,C
103119,C
103120,A
103121,A
103122,B
103123,A
103124,C
103125,A
103126,B
103127,B
103128,A
103129,C
103130,B
103131,B
103132,A
103133,D
103134,A
103135,A
103136,D
103137,C
103138,B
103139,A
103140,B
103141,D
103142,A
103143,A
103144,D
103145,D
103146,C
103147,B
103148,A
103149,A
103150,D
103151,A
103152,B
103153,A
103154,B
103155,B
103156,B
103157,B
103158,B
103159,B
103160,D
103161,D
103162,B
103163,B
103164,D
103165,C
103166,C
103167,B
103168,B
103169,C
103170,B
103171,C
103172,D
103173,C
103174,D
103175,A
103176,D
103177,B
103178,A
103179,B
103180,D
103181,D
103182,C
103183,B
103184,C
103185,A
103186,C
103187,C
103188,C
103189,B
103190,B
103191,D
103192,C
103193,C
103194,C
103195,C
103196,B
103197,A
103198,C
103199,D
103200,D
103201,A
103202,C
103203,D
103204,C
103205,D
103206,D
103207,D
103208,C
103209,D
103210,C
103211,A
103212,D
103213,D
103214,C
103215,B
103216,C
103217,D
103218,B
103219,C
103220,A
103221,A
103222,D
103223,B
103224,A
103225,D
103226,D
103227,D
103228,B
103229,A
103230,B
103231,B
103232,B
103233,C
103234,B
103235,B
103236,A
103237,C
103238,C
103239,A
103240,B
103241,A
103242,B
103243,D
103244,D
103245,B
103246,C
103247,B
103248,B
103249,A
103250,D
103251,B
103252,A
103253,C
103254,D
103255,B
103256,A
103257,B
103258,D
103259,A
103260,A
103261,A
103262,C
103263,D
103264,A
103265,B
103266,B
103267,C
103268,D
103269,C
103270,A
103271,C
103272,D
103273,C
103274,A
103275,B
103276,D
103277,D
103278,B
103279,D
103280,C
103281,B
103282,A
103283,C
103284,D
103285,A
103286,D
103287,D
103288,D
103289,A
103290,C
103291,B
103292,D
103293,B
103294,C
103295,C
103296,D
103297,A
103298,A
103299,C
103300,B
103301,D
103302,C
103303,D
103304,B
103305,D
103306,B
103307,B
103308,C
103309,B
103310,D
103311,B
103312,C
103313,A
103314,B
103315,B
103316,D
103317,D
103318,B
103319,A
103320,B
103321,C
103322,C
103323,B
103324,D
103325,C
103326,C
103327,C
103328,A
103329,A
103330,A
103331,D
103332,A
103333,B
103334,C
103335,C
103336,D
103337,C
103338,C
103339,A
103340,A
103341,D
103342,A
103343,B
103344,B
103345,A
103346,D
103347,A
103348,A
103349,A
103350,A
103351,D
103352,D
103353,A
103354,D
103355,D
103356,B
103357,D
103358,B
103359,C
103360,A
103361,A
103362,B
103363,B
103364,D
103365,D
103366,D
103367,A
103368,C
103369,B
103370,B
103371,C
103372,C
103373,D
103374,B
103375,A
103376,C
103377,B
103378,D
103379,B
103380,A
103381,A
103382,C
103383,B
103384,D
103385,A
103386,C
103387,D
103388,B
103389,A
103390,D
103391,C
103392,B
103393,C
103394,B
103395,A
103396,D
103397,B
103398,C
103399,A
103400,C
103401,C
103402,D
103403,D
103404,B
103405,C
103406,A
103407,C
103408,D
103409,A
103410,B
103411,A
103412,B
103413,B
103414,A
103415,C
103416,D
103417,A
103418,B
103419,C
103420,B
103421,A
103422,D
103423,B
103424,C
103425,C
103426,D
103427,B
103428,B
103429,A
103430,C
103431,B
103432,D
103433,A
103434,A
103435,A
103436,D
103437,C
103438,A
103439,C
103440,A
103441,A
103442,A
103443,A
103444,C
103445,C
103446,B
103447,B
103448,A
103449,C
103450,D
103451,A
103452,A
103453,D
103454,D
103455,A
103456,B
103457,D
103458,D
103459,B
103460,D
103461,A
103462,C
103463,A
103464,D
103465,B
103466,C
103467,D
103468,C
103469,B
103470,C
103471,A
103472,B
103473,C
103474,D
103475,A
103476,C
103477,C
103478,A
103479,D
103480,B
103481,A
103482,A
103483,A
103484,B
103485,A
103486,B
103487,B
103488,A
103489,D
103490,A
103491,C
103492,A
103493,B
103494,D
103495,D
103496,D
103497,C
103498,A
103499,B
103500,B
103501,B
103502,B
